date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:52	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:53%20GMT	https://media.giphy.com/media/583zv5WDi3mIOjpB53/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/583zv5WDi3mIOjpB53/giphy.3c.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:52	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:53%20GMT	https://media.giphy.com/media/sRJdcg1Gx0gILbbXyo/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/sRJdcg1Gx0gILbbXyo/giphy.3d.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:53	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:53%20GMT	https://media.giphy.com/media/w9ozWzmOE18zK/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/w9ozWzmOE18zK/giphy.3e.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:53	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:54%20GMT	https://media.giphy.com/media/3og0IFVYFzYNC5u9kA/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/3og0IFVYFzYNC5u9kA/giphy.3f.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:53	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:54%20GMT	https://media.giphy.com/media/23ccpVJ4WGRnnS43LF/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/23ccpVJ4WGRnnS43LF/giphy.40.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:54%20GMT	https://media.giphy.com/media/nW9iOmXWriQU0/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/nW9iOmXWriQU0/giphy.41.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:55%20GMT	https://media.giphy.com/media/WVUQ1zyiSJ4ly/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/WVUQ1zyiSJ4ly/giphy.42.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:55%20GMT	https://media.giphy.com/media/1oDucHVK5Fgl7zKnTV/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/1oDucHVK5Fgl7zKnTV/giphy.43.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:55	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:55%20GMT	https://media.giphy.com/media/3osxYoCkKu892JBLUc/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/3osxYoCkKu892JBLUc/giphy.44.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:55	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:56%20GMT	https://media.giphy.com/media/hTDNwZbCwOfrmUItSU/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/hTDNwZbCwOfrmUItSU/giphy.45.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
